acacia_button,アカシアのボタン
banner_stripe_right_purple,右端に紫色の縦帯
banner_stripe_right_red,右端に赤色の縦帯
banner_stripe_right_white,右端に白色の縦帯
banner_stripe_right_yellow,右端に黄色の縦帯
banner_stripe_top_black,上端に黒色の横帯
banner_stripe_top_blue,上端に青色の横帯
banner_stripe_top_brown,上端に茶色の横帯
banner_stripe_top_cyan,上端に青緑色の横帯
banner_stripe_top_gray,上端に灰色の横帯
banner_stripe_top_green,上端に緑色の横帯
banner_stripe_top_light_blue,上端に空色の横帯
banner_stripe_top_light_gray,上端に薄灰色の横帯
banner_stripe_top_lime,上端に黄緑色の横帯
banner_stripe_top_magenta,上端に赤紫色の横帯
banner_stripe_top_orange,上端に橙色の横帯
banner_stripe_top_pink,上端に桃色の横帯
banner_stripe_top_purple,上端に紫色の横帯
banner_stripe_top_red,上端に赤色の横帯
banner_stripe_top_white,上端に白色の横帯
banner_stripe_top_yellow,上端に黄色の横帯
banner_triangle_bottom_black,下半に黒色の上向き山形
banner_triangle_bottom_blue,下半に青色の上向き山形
banner_triangle_bottom_brown,下半に茶色の上向き山形
banner_triangle_bottom_cyan,下半に青緑色の上向き山形
banner_triangle_bottom_gray,下半に灰色の上向き山形
banner_triangle_bottom_green,下半に緑色の上向き山形
banner_triangle_bottom_light_blue,下半に空色の上向き山形
banner_triangle_bottom_light_gray,下半に薄灰色の上向き山形
banner_triangle_bottom_lime,下半に黄緑色の上向き山形
banner_triangle_bottom_magenta,下半に赤紫色の上向き山形
banner_triangle_bottom_orange,下半に橙色の上向き山形
banner_triangle_bottom_pink,下半に桃色の上向き山形
banner_triangle_bottom_purple,下半に紫色の上向き山形
banner_triangle_bottom_red,下半に赤色の上向き山形
banner_triangle_bottom_white,下半に白色の上向き山形
banner_triangle_bottom_yellow,下半に黄色の上向き山形
banner_triangle_top_black,上半に黒色の下向き山形
banner_triangle_top_blue,上半に青色の下向き山形
banner_triangle_top_brown,上半に茶色の下向き山形
banner_triangle_top_cyan,上半に青緑色の下向き山形
banner_triangle_top_gray,上半に灰色の下向き山形
banner_triangle_top_green,上半に緑色の下向き山形
banner_triangle_top_light_blue,上半に空色の下向き山形
banner_triangle_top_light_gray,上半に薄灰色の下向き山形
banner_triangle_top_lime,上半に黄緑色の下向き山形
banner_triangle_top_magenta,上半に赤紫色の下向き山形
banner_triangle_top_orange,上半に橙色の下向き山形
banner_triangle_top_pink,上半に桃色の下向き山形
banner_triangle_top_purple,上半に紫色の下向き山形
banner_triangle_top_red,上半に赤色の下向き山形
banner_triangle_top_white,上半に白色の下向き山形
banner_triangle_top_yellow,上半に黄色の下向き山形
banner_triangles_bottom_black,下端に黒色の上向き山形波
banner_triangles_bottom_blue,下に青色の上向き山形波
banner_triangles_bottom_brown,下端に茶色の上向き山形波
banner_triangles_bottom_cyan,下端に青緑色の上向き山形波
banner_triangles_bottom_gray,下端に灰色の上向き山形波
banner_triangles_bottom_green,下端に緑色の上向き山形波
banner_triangles_bottom_light_blue,下端に空色の上向き山形波
banner_triangles_bottom_light_gray,下端に薄灰色の上向き山形波
banner_triangles_bottom_lime,下端に黄緑色の上向き山形波
banner_triangles_bottom_magenta,下端に赤紫色の上向き山形波
banner_triangles_bottom_orange,下端に橙色の上向き山形波
banner_triangles_bottom_pink,下端に桃色の上向き山形波
banner_triangles_bottom_purple,下端に紫色の上向き山形波
banner_triangles_bottom_red,下端に赤色の上向き山形波
banner_triangles_bottom_white,下端に白色の上向き山形波
banner_triangles_bottom_yellow,下端に黄色の上向き山形波
banner_triangles_top_black,上端に黒色の下向き山形波
banner_triangles_top_blue,上端に青色の下向き山形波
banner_triangles_top_brown,上端に茶色の下向き山形波
banner_triangles_top_cyan,上端に青緑色の下向き山形波
banner_triangles_top_gray,上端に灰色の下向き山形波
banner_triangles_top_green,上端に緑色の下向き山形波
banner_triangles_top_light_blue,上端に空色の下向き山形波
banner_triangles_top_light_gray,上端に薄灰色の下向き山形波
banner_triangles_top_lime,上端に黄緑色の下向き山形波
banner_triangles_top_magenta,上端に赤紫色の下向き山形波
banner_triangles_top_orange,上端に橙色の下向き山形波
banner_triangles_top_pink,上端に桃色の下向き山形波
banner_triangles_top_purple,上端に紫色の下向き山形波
banner_triangles_top_red,上端に赤色の下向き山形波
banner_triangles_top_white,上端に白色の下向き山形波
banner_triangles_top_yellow,上端に黄色の下向き山形波
barrel,樽
barrier,バリアブロック
basalt,玄武岩
beacon,ビーコン
beacon_primary,主効果
beacon_secondary,副効果
bed_no_sleep,夜もしくは雷雨のときのみ寝ることができます
bed_not_safe,モンスターが近くにいるため寝ることができません
bed_obstructed,このベッドは塞がれています
bed_occupied,このベッドは既に使われています
bed_too_far_away,ベッドから離れ過ぎているため寝ることができません
bedrock,岩盤
bee_nest,ミツバチの巣
beehive,養蜂箱
beetroots,ビートルート
bell,鐘
big_dripleaf,大きなドリップリーフ
big_dripleaf_stem,大きなドリップリーフの茎
birch_button,シラカバのボタン
birch_door,シラカバのドア
birch_fence,シラカバのフェンス
birch_fence_gate,シラカバのフェンスゲート
birch_leaves,シラカバの葉
birch_log,シラカバの原木
birch_planks,シラカバの板材
birch_pressure_plate,シラカバの感圧板
birch_sapling,シラカバの苗木
birch_sign,シラカバの看板
birch_slab,シラカバのハーフブロック
birch_stairs,シラカバの階段
birch_trapdoor,シラカバのトラップドア
birch_wall_sign,壁に付けられたシラカバの看板
birch_wood,シラカバの木
black_banner,黒色の旗
black_bed,黒色のベッド
black_candle,黒色のろうそく
black_candle_cake,黒色のろうそく付きケーキ
black_carpet,黒色のカーペット
black_concrete,黒色のコンクリート
black_concrete_powder,黒色のコンクリートパウダー
black_glazed_terracotta,黒色の彩釉テラコッタ
black_shulker_box,黒色のシュルカーボックス
black_stained_glass,黒色の色付きガラス
black_stained_glass_pane,黒色の色付きガラス板
black_terracotta,黒色のテラコッタ
black_wool,黒色の羊毛
blackstone,ブラックストーン
blackstone_slab,ブラックストーンのハーフブロック
blackstone_stairs,ブラックストーンの階段
blackstone_wall,ブラックストーンの塀
blast_furnace,溶鉱炉
blue_banner,青色の旗
blue_bed,青色のベッド
blue_candle,青色のろうそく
blue_candle_cake,青色のろうそく付きケーキ
blue_carpet,青色のカーペット
blue_concrete,青色のコンクリート
blue_concrete_powder,青色のコンクリートパウダー
blue_glazed_terracotta,青色の彩釉テラコッタ
blue_ice,青氷
blue_orchid,ヒスイラン
blue_shulker_box,青色のシュルカーボックス
blue_stained_glass,青色の色付きガラス
blue_stained_glass_pane,青色の色付きガラス板
blue_terracotta,青色のテラコッタ
blue_wool,青色の羊毛
bone_block,骨ブロック
bookshelf,本棚
brain_coral,ノウサンゴ
brain_coral_block,ノウサンゴブロック
brain_coral_fan,ノウウチワサンゴ
brain_coral_wall_fan,壁付きのノウウチワサンゴ
brewing_stand,醸造台
brick_slab,レンガのハーフブロック
brick_stairs,レンガの階段
brick_wall,レンガの塀
bricks,レンガ
brown_banner,茶色の旗
brown_bed,茶色のベッド
brown_candle,茶色のろうそく
brown_candle_cake,茶色のろうそく付きケーキ
brown_carpet,茶色のカーペット
brown_concrete,茶色のコンクリート
brown_concrete_powder,茶色のコンクリートパウダー
brown_glazed_terracotta,茶色の彩釉テラコッタ
brown_mushroom,茶色のキノコ
brown_mushroom_block,茶色のキノコブロック
brown_shulker_box,茶色のシュルカーボックス
brown_stained_glass,茶色の色付きガラス
brown_stained_glass_pane,茶色の色付きガラス板
brown_terracotta,茶色のテラコッタ
brown_wool,茶色の羊毛
bubble_column,気泡柱
bubble_coral,ミズタマサンゴ
bubble_coral_block,ミズタマサンゴブロック
bubble_coral_fan,ミズタマウチワサンゴ
bubble_coral_wall_fan,壁付きのミズタマウチワサンゴ
budding_amethyst,芽生えたアメジスト
cactus,サボテン
cake,ケーキ
calcite,方解石
campfire,焚き火
candle,ろうそく
candle_cake,ろうそくが立てられたケーキ
carrots,ニンジン
cartography_table,製図台
carved_pumpkin,くり抜かれたカボチャ
cauldron,大釜
cave_air,洞窟の空気
cave_vines,洞窟のツタ
cave_vines_plant,洞窟のツタのつる
chain,鎖
chain_command_block,チェーンコマンドブロック
chest,チェスト
chipped_anvil,欠けた金床
chiseled_deepslate,模様入りの深層岩
chiseled_nether_bricks,模様入りのネザーレンガ
chiseled_polished_blackstone,模様入りの磨かれたブラックストーン
chiseled_quartz_block,模様入りのクォーツブロック
chiseled_red_sandstone,模様入りの赤い砂岩
chiseled_sandstone,模様入りの砂岩
chiseled_stone_bricks,模様入りの石レンガ
chorus_flower,コーラスフラワー
chorus_plant,コーラスプラント
clay,粘土
coal_block,石炭ブロック
coal_ore,石炭鉱石
coarse_dirt,粗い土
cobbled_deepslate,深層岩の丸石
cobbled_deepslate_slab,深層岩の丸石のハーフブロック
cobbled_deepslate_stairs,深層岩の丸石の階段
cobbled_deepslate_wall,深層岩の丸石の塀
cobblestone,丸石
cobblestone_slab,丸石のハーフブロック
cobblestone_stairs,丸石の階段
cobblestone_wall,丸石の塀
cobweb,クモの巣
cocoa,カカオの実
command_block,コマンドブロック
comparator,レッドストーンコンパレーター
composter,コンポスター
conduit,コンジット
copper_block,銅ブロック
copper_ore,銅鉱石
cornflower,ヤグルマギク
cracked_deepslate_bricks,ひび割れた深層岩レンガ
cracked_deepslate_tiles,ひび割れた深層岩タイル
cracked_nether_bricks,ひび割れたネザーレンガ
cracked_polished_blackstone_bricks,ひび割れたブラックストーンレンガ
cracked_stone_bricks,ひび割れた石レンガ
crafting_table,作業台
creeper_head,クリーパーの頭
creeper_wall_head,壁に付けられたクリーパーの頭
crimson_button,真紅のボタン
crimson_door,真紅のドア
crimson_fence,真紅のフェンス
crimson_fence_gate,真紅のフェンスゲート
crimson_fungus,真紅のキノコ
crimson_hyphae,真紅の菌糸
crimson_nylium,真紅のナイリウム
crimson_planks,真紅の板材
crimson_pressure_plate,真紅の感圧板
crimson_roots,真紅の根
crimson_sign,真紅の看板
crimson_slab,真紅のハーフブロック
crimson_stairs,真紅の階段
crimson_stem,真紅の幹
crimson_trapdoor,真紅のトラップドア
crimson_wall_sign,壁に付けられた真紅の看板
crying_obsidian,泣く黒曜石
cut_copper,切り込み入りの銅
cut_copper_slab,切り込み入りの銅のハーフブロック
cut_copper_stairs,切り込み入りの銅の階段
cut_red_sandstone,研がれた赤い砂岩
cut_red_sandstone_slab,研がれた赤い砂岩のハーフブロック
cut_sandstone,研がれた砂岩
cut_sandstone_slab,研がれた砂岩のハーフブロック
cyan_banner,青緑色の旗
cyan_bed,青緑色のベッド
cyan_candle,青緑色のろうそく
cyan_candle_cake,青緑色のろうそく付きケーキ
cyan_carpet,青緑色のカーペット
cyan_concrete,青緑色のコンクリート
cyan_concrete_powder,青緑色のコンクリートパウダー
cyan_glazed_terracotta,青緑色の彩釉テラコッタ
cyan_shulker_box,青緑色のシュルカーボックス
cyan_stained_glass,青緑色の色付きガラス
cyan_stained_glass_pane,青緑色の色付きガラス板
cyan_terracotta,青緑色のテラコッタ
cyan_wool,青緑色の羊毛
damaged_anvil,壊れかけの金床
dandelion,タンポポ
dark_oak_button,ダークオークのボタン
dark_oak_door,ダークオークのドア
dark_oak_fence,ダークオークのフェンス
dark_oak_fence_gate,ダークオークのフェンスゲート
dark_oak_leaves,ダークオークの葉
dark_oak_log,ダークオークの原木
dark_oak_planks,ダークオークの板材
dark_oak_pressure_plate,ダークオークの感圧板
dark_oak_sapling,ダークオークの苗木
dark_oak_sign,ダークオークの看板
dark_oak_slab,ダークオークのハーフブロック
dark_oak_stairs,ダークオークの階段
dark_oak_trapdoor,ダークオークのトラップドア
dark_oak_wall_sign,壁に付けられたダークオークの看板
dark_oak_wood,ダークオークの木
dark_prismarine,ダークプリズマリン
dark_prismarine_slab,ダークプリズマリンのハーフブロック
dark_prismarine_stairs,ダークプリズマリンの階段
daylight_detector,日照センサー
dead_brain_coral,死んだノウサンゴ
dead_brain_coral_block,死んだノウサンゴブロック
dead_brain_coral_fan,死んだノウウチワサンゴ
dead_brain_coral_wall_fan,壁付きの死んだノウウチワサンゴ
dead_bubble_coral,死んだミズタマサンゴ
dead_bubble_coral_block,死んだミズタマサンゴブロック
dead_bubble_coral_fan,死んだミズタマウチワサンゴ
dead_bubble_coral_wall_fan,壁付きの死んだミズタマウチワサンゴ
dead_bush,枯れ木
dead_fire_coral,死んだミレポラサンゴ
dead_fire_coral_block,死んだミレポラサンゴブロック
dead_fire_coral_fan,死んだミレポラウチワサンゴ
dead_fire_coral_wall_fan,壁付きの死んだミレポラウチワサンゴ
dead_horn_coral,死んだシカツノサンゴ
dead_horn_coral_block,死んだシカツノサンゴブロック
dead_horn_coral_fan,死んだシカツノウチワサンゴ
dead_horn_coral_wall_fan,壁付きの死んだシカツノウチワサンゴ
dead_tube_coral,死んだクダサンゴ
dead_tube_coral_block,死んだクダサンゴブロック
dead_tube_coral_fan,死んだクダウチワサンゴ
dead_tube_coral_wall_fan,壁付きの死んだクダウチワサンゴ
deepslate,深層岩
deepslate_brick_slab,深層岩レンガのハーフブロック
deepslate_brick_stairs,深層岩レンガの階段
deepslate_brick_wall,深層岩レンガの塀
deepslate_bricks,深層岩レンガ
deepslate_coal_ore,深層石炭鉱石
deepslate_copper_ore,深層銅鉱石
deepslate_diamond_ore,深層ダイヤモンド鉱石
deepslate_emerald_ore,深層エメラルド鉱石
deepslate_gold_ore,深層金鉱石
deepslate_iron_ore,深層鉄鉱石
deepslate_lapis_ore,深層ラピスラズリ鉱石
deepslate_redstone_ore,深層レッドストーン鉱石
deepslate_tile_slab,深層岩タイルのハーフブロック
deepslate_tile_stairs,深層岩タイルの階段
deepslate_tile_wall,深層岩タイルの塀
deepslate_tiles,深層岩タイル
detector_rail,ディテクターレール
diamond_block,ダイヤモンドブロック
diamond_ore,ダイヤモンド鉱石
diorite,閃緑岩
diorite_slab,閃緑岩のハーフブロック
diorite_stairs,閃緑岩の階段
diorite_wall,閃緑岩の塀
dirt,土
dirt_path,土の道
dispenser,ディスペンサー
dragon_egg,ドラゴンの卵
dragon_head,ドラゴンの頭
dragon_wall_head,壁に付けられたドラゴンの頭
dried_kelp_block,乾燥した昆布ブロック
dripstone_block,鍾乳石ブロック
dropper,ドロッパー
emerald_block,エメラルドブロック
emerald_ore,エメラルド鉱石
enchanting_table,エンチャントテーブル
end_gateway,エンドゲートウェイ
end_portal,エンドポータル
end_portal_frame,エンドポータルフレーム
end_rod,エンドロッド
end_stone,エンドストーン
end_stone_brick_slab,エンドストーンレンガのハーフブロック
end_stone_brick_stairs,エンドストーンレンガの階段
end_stone_brick_wall,エンドストーンレンガの塀
end_stone_bricks,エンドストーンレンガ
ender_chest,エンダーチェスト
exposed_copper,風化した銅
exposed_cut_copper,風化した切り込み入りの銅
exposed_cut_copper_slab,風化した切り込み入りの銅のハーフブロック
exposed_cut_copper_stairs,風化した切り込み入りの銅の階段
farmland,耕地
fern,シダ
fire,炎
fire_coral,ミレポラサンゴ
fire_coral_block,ミレポラサンゴブロック
fire_coral_fan,ミレポラウチワサンゴ
fire_coral_wall_fan,壁付きのミレポラウチワサンゴ
fletching_table,矢細工台
flower_pot,植木鉢
flowering_azalea,開花したツツジ
flowering_azalea_leaves,開花したツツジの葉
frosted_ice,薄氷
furnace,かまど
gilded_blackstone,きらめくブラックストーン
glass,ガラス
glass_pane,ガラス板
glow_lichen,ヒカリゴケ
glowstone,グロウストーン
gold_block,金ブロック
gold_ore,金鉱石
granite,花崗岩
granite_slab,花崗岩のハーフブロック
granite_stairs,花崗岩の階段
granite_wall,花崗岩の塀
grass,草
grass_block,草ブロック
gravel,砂利
gray_banner,灰色の旗
gray_bed,灰色のベッド
gray_candle,灰色のろうそく
gray_candle_cake,灰色のろうそく付きケーキ
gray_carpet,灰色のカーペット
gray_concrete,灰色のコンクリート
gray_concrete_powder,灰色のコンクリートパウダー
gray_glazed_terracotta,灰色の彩釉テラコッタ
gray_shulker_box,灰色のシュルカーボックス
gray_stained_glass,灰色の色付きガラス
gray_stained_glass_pane,灰色の色付きガラス板
gray_terracotta,灰色のテラコッタ
gray_wool,灰色の羊毛
green_banner,緑色の旗
green_bed,緑色のベッド
green_candle,緑色のろうそく
green_candle_cake,緑色のろうそく付きケーキ
green_carpet,緑色のカーペット
green_concrete,緑色のコンクリート
green_concrete_powder,緑色のコンクリートパウダー
green_glazed_terracotta,緑色の彩釉テラコッタ
green_shulker_box,緑色のシュルカーボックス
green_stained_glass,緑色の色付きガラス
green_stained_glass_pane,緑色の色付きガラス板
green_terracotta,緑色のテラコッタ
green_wool,緑色の羊毛
grindstone,砥石
hanging_roots,垂れ根
hay_block,干草の俵
heavy_weighted_pressure_plate,重量用感圧板
honey_block,ハチミツブロック
honeycomb_block,ハニカムブロック
hopper,ホッパー
horn_coral,シカツノサンゴ
horn_coral_block,シカツノサンゴブロック
horn_coral_fan,シカツノウチワサンゴ
horn_coral_wall_fan,壁付きのシカツノウチワサンゴ
ice,氷
infested_chiseled_stone_bricks,模様入りの虫食い石レンガ
infested_cobblestone,虫食い丸石
infested_cracked_stone_bricks,ひび割れた虫食い石レンガ
infested_deepslate,虫食い深層岩
infested_mossy_stone_bricks,苔むした虫食い石レンガ
infested_stone,虫食い石
infested_stone_bricks,虫食い石レンガ
iron_bars,鉄格子
iron_block,鉄ブロック
iron_door,鉄のドア
iron_ore,鉄鉱石
iron_trapdoor,鉄のトラップドア
jack_o_lantern,ジャック・オ・ランタン
jigsaw,ジグソーブロック
jukebox,ジュークボックス
jungle_button,ジャングルのボタン
jungle_door,ジャングルのドア
jungle_fence,ジャングルのフェンス
jungle_fence_gate,ジャングルのフェンスゲート
jungle_leaves,ジャングルの葉
jungle_log,ジャングルの原木
jungle_planks,ジャングルの板材
jungle_pressure_plate,ジャングルの感圧板
jungle_sapling,ジャングルの苗木
jungle_sign,ジャングルの看板
jungle_slab,ジャングルのハーフブロック
jungle_stairs,ジャングルの階段
jungle_trapdoor,ジャングルのトラップドア
jungle_wall_sign,壁に付けられたジャングルの看板
jungle_wood,ジャングルの木
kelp,コンブ
kelp_plant,コンブの茎
ladder,はしご
lantern,ランタン
lapis_block,ラピスラズリブロック
lapis_ore,ラピスラズリ鉱石
large_amethyst_bud,大きなアメジストの芽
large_fern,大きなシダ
lava,溶岩
lava_cauldron,溶岩入りの大釜
lectern,書見台
lever,レバー
light,ライトブロック
light_blue_banner,空色の旗
light_blue_bed,空色のベッド
light_blue_candle,空色のろうそく
light_blue_candle_cake,空色のろうそく付きケーキ
light_blue_carpet,空色のカーペット
light_blue_concrete,空色のコンクリート
light_blue_concrete_powder,空色のコンクリートパウダー
light_blue_glazed_terracotta,空色の彩釉テラコッタ
light_blue_shulker_box,空色のシュルカーボックス
light_blue_stained_glass,空色の色付きガラス
light_blue_stained_glass_pane,空色の色付きガラス板
light_blue_terracotta,空色のテラコッタ
light_blue_wool,空色の羊毛
light_gray_banner,薄灰色の旗
light_gray_bed,薄灰色のベッド
light_gray_candle,薄灰色のろうそく
light_gray_candle_cake,薄灰色のろうそく付きケーキ
light_gray_carpet,薄灰色のカーペット
light_gray_concrete,薄灰色のコンクリート
light_gray_concrete_powder,薄灰色のコンクリートパウダー
light_gray_glazed_terracotta,薄灰色の彩釉テラコッタ
light_gray_shulker_box,薄灰色のシュルカーボックス
light_gray_stained_glass,薄灰色の色付きガラス
light_gray_stained_glass_pane,薄灰色の色付きガラス板
light_gray_terracotta,薄灰色のテラコッタ
light_gray_wool,薄灰色の羊毛
light_weighted_pressure_plate,軽量用感圧板
lightning_rod,避雷針
lilac,ライラック
lily_of_the_valley,スズラン
lily_pad,スイレンの葉
lime_banner,黄緑色の旗
lime_bed,黄緑色のベッド
lime_candle,黄緑色のろうそく
lime_candle_cake,黄緑色のろうそく付きケーキ
lime_carpet,黄緑色のカーペット
lime_concrete,黄緑色のコンクリート
lime_concrete_powder,黄緑色のコンクリートパウダー
lime_glazed_terracotta,黄緑色の彩釉テラコッタ
lime_shulker_box,黄緑色のシュルカーボックス
lime_stained_glass,黄緑色の色付きガラス
lime_stained_glass_pane,黄緑色の色付きガラス板
lime_terracotta,黄緑色のテラコッタ
lime_wool,黄緑色の羊毛
lodestone,ロードストーン
loom,機織り機
magenta_banner,赤紫色の旗
magenta_bed,赤紫色のベッド
magenta_candle,赤紫色のろうそく
magenta_candle_cake,赤紫色のろうそく付きケーキ
magenta_carpet,赤紫色のカーペット
magenta_concrete,赤紫色のコンクリート
magenta_concrete_powder,赤紫色のコンクリートパウダー
magenta_glazed_terracotta,赤紫色の彩釉テラコッタ
magenta_shulker_box,赤紫色のシュルカーボックス
magenta_stained_glass,赤紫色の色付きガラス
magenta_stained_glass_pane,赤紫色の色付きガラス板
magenta_terracotta,赤紫色のテラコッタ
magenta_wool,赤紫色の羊毛
magma_block,マグマブロック
medium_amethyst_bud,中くらいのアメジストの芽
melon,スイカ
melon_stem,スイカの茎
moss_block,苔ブロック
moss_carpet,苔のカーペット
mossy_cobblestone,苔むした丸石
mossy_cobblestone_slab,苔むした丸石のハーフブロック
mossy_cobblestone_stairs,苔むした丸石の階段
mossy_cobblestone_wall,苔むした丸石の塀
mossy_stone_brick_slab,苔むした石レンガのハーフブロック
mossy_stone_brick_stairs,苔むした石レンガの階段
mossy_stone_brick_wall,苔むした石レンガの塀
mossy_stone_bricks,苔むした石レンガ
moving_piston,作動中のピストン
mushroom_stem,キノコの柄
mycelium,菌糸
nether_brick_fence,ネザーレンガのフェンス
nether_brick_slab,ネザーレンガのハーフブロック
nether_brick_stairs,ネザーレンガの階段
nether_brick_wall,ネザーレンガの塀
nether_bricks,ネザーレンガ
nether_gold_ore,ネザー金鉱石
nether_portal,ネザーポータル
nether_quartz_ore,ネザークォーツ鉱石
nether_sprouts,ネザースプラウト
nether_wart,ネザーウォート
nether_wart_block,ネザーウォートブロック
netherite_block,ネザライトブロック
netherrack,ネザーラック
note_block,音符ブロック
oak_button,オークのボタン
oak_door,オークのドア
oak_fence,オークのフェンス
oak_fence_gate,オークのフェンスゲート
oak_leaves,オークの葉
oak_log,オークの原木
oak_planks,オークの板材
oak_pressure_plate,オークの感圧板
oak_sapling,オークの苗木
oak_sign,オークの看板
oak_slab,オークのハーフブロック
oak_stairs,オークの階段
oak_trapdoor,オークのトラップドア
oak_wall_sign,壁に付けられたオークの看板
oak_wood,オークの木
observer,オブザーバー
obsidian,黒曜石
ominous_banner,不吉な旗
orange_banner,橙色の旗
orange_bed,橙色のベッド
orange_candle,橙色のろうそく
orange_candle_cake,橙色のろうそく付きケーキ
orange_carpet,橙色のカーペット
orange_concrete,橙色のコンクリート
orange_concrete_powder,橙色のコンクリートパウダー
orange_glazed_terracotta,橙色の彩釉テラコッタ
orange_shulker_box,橙色のシュルカーボックス
orange_stained_glass,橙色の色付きガラス
orange_stained_glass_pane,橙色の色付きガラス板
orange_terracotta,橙色のテラコッタ
orange_tulip,橙色のチューリップ
orange_wool,橙色の羊毛
oxeye_daisy,フランスギク
oxidized_copper,酸化した銅
oxidized_cut_copper,酸化した切り込み入りの銅
oxidized_cut_copper_slab,酸化した切り込み入りの銅のハーフブロック
oxidized_cut_copper_stairs,酸化した切り込み入りの銅の階段
packed_ice,氷塊
peony,ボタン
petrified_oak_slab,石化したオークのハーフブロック
pink_banner,桃色の旗
pink_bed,桃色のベッド
pink_candle,桃色のろうそく
pink_candle_cake,桃色のろうそく付きケーキ
pink_carpet,桃色のカーペット
pink_concrete,桃色のコンクリート
pink_concrete_powder,桃色のコンクリートパウダー
pink_glazed_terracotta,桃色の彩釉テラコッタ
pink_shulker_box,桃色のシュルカーボックス
pink_stained_glass,桃色の色付きガラス
pink_stained_glass_pane,桃色の色付きガラス板
pink_terracotta,桃色のテラコッタ
pink_tulip,桃色のチューリップ
pink_wool,桃色の羊毛
piston,ピストン
piston_head,ピストンヘッド
player_head,プレイヤーの頭
player_head_named,%sの頭
player_wall_head,壁に付けられたプレイヤーの頭
podzol,ポドゾル
pointed_dripstone,鍾乳石
polished_andesite,磨かれた安山岩
polished_andesite_slab,磨かれた安山岩のハーフブロック
polished_andesite_stairs,磨かれた安山岩の階段
polished_basalt,磨かれた玄武岩
polished_blackstone,磨かれたブラックストーン
polished_blackstone_brick_slab,磨かれたブラックストーンレンガのハーフブロック
polished_blackstone_brick_stairs,磨かれたブラックストーンレンガの階段
polished_blackstone_brick_wall,磨かれたブラックストーンレンガの塀
polished_blackstone_bricks,磨かれたブラックストーンレンガ
polished_blackstone_button,磨かれたブラックストーンのボタン
polished_blackstone_pressure_plate,磨かれたブラックストーンの感圧板
polished_blackstone_slab,磨かれたブラックストーンのハーフブロック
polished_blackstone_stairs,磨かれたブラックストーンの階段
polished_blackstone_wall,磨かれたブラックストーンの塀
polished_deepslate,磨かれた深層岩
polished_deepslate_slab,磨かれた深層岩のハーフブロック
polished_deepslate_stairs,磨かれた深層岩の階段
polished_deepslate_wall,磨かれた深層岩の塀
polished_diorite,磨かれた閃緑岩
polished_diorite_slab,磨かれた閃緑岩のハーフブロック
polished_diorite_stairs,磨かれた閃緑岩の階段
polished_granite,磨かれた花崗岩
polished_granite_slab,磨かれた花崗岩のハーフブロック
polished_granite_stairs,磨かれた花崗岩の階段
poppy,ポピー
potatoes,ジャガイモ
potted_acacia_sapling,植えられたアカシアの苗木
potted_allium,植えられたアリウム
potted_azalea_bush,植えられたツツジ
potted_azure_bluet,植えられたヒナソウ
potted_bamboo,植えられた竹
potted_birch_sapling,植えられたシラカバの苗木
potted_blue_orchid,植えられたヒスイラン
potted_brown_mushroom,植えられた茶色のキノコ
potted_cactus,植えられたサボテン
potted_cornflower,植えられたヤグルマギク
potted_crimson_fungus,植えられた真紅のキノコ
potted_crimson_roots,植えられた真紅の根
potted_dandelion,植えられたタンポポ
potted_dark_oak_sapling,植えられたダークオークの苗木
potted_dead_bush,植えられた枯れ木
potted_fern,植えられたシダ
potted_flowering_azalea_bush,植えられた開花したツツジ
potted_jungle_sapling,植えられたジャングルの苗木
potted_lily_of_the_valley,植えられたスズラン
potted_oak_sapling,植えられたオークの苗木
potted_orange_tulip,植えられた橙色のチューリップ
potted_oxeye_daisy,植えられたフランスギク
potted_pink_tulip,植えられた桃色のチューリップ
potted_poppy,植えられたポピー
potted_red_mushroom,植えられた赤色のキノコ
potted_red_tulip,植えられた赤色のチューリップ
potted_spruce_sapling,植えられたトウヒの苗木
potted_warped_fungus,植えられた歪んだキノコ
potted_warped_roots,植えられた歪んだ根
potted_white_tulip,植えられた白色のチューリップ
potted_wither_rose,植えられたウィザーローズ
powder_snow,粉雪
powder_snow_cauldron,粉雪入りの大釜
powered_rail,パワードレール
prismarine,プリズマリン
prismarine_brick_slab,プリズマリンレンガのハーフブロック
prismarine_brick_stairs,プリズマリンレンガの階段
prismarine_bricks,プリズマリンレンガ
prismarine_slab,プリズマリンのハーフブロック
prismarine_stairs,プリズマリンの階段
prismarine_wall,プリズマリンの塀
pumpkin,カボチャ
pumpkin_stem,カボチャの茎
purple_banner,紫色の旗
purple_bed,紫色のベッド
purple_candle,紫色のろうそく
purple_candle_cake,紫色のろうそく付きケーキ
purple_carpet,紫色のカーペット
purple_concrete,紫色のコンクリート
purple_concrete_powder,紫色のコンクリートパウダー
purple_glazed_terracotta,紫色の彩釉テラコッタ
purple_shulker_box,紫色のシュルカーボックス
purple_stained_glass,紫色の色付きガラス
purple_stained_glass_pane,紫色の色付きガラス板
purple_terracotta,紫色のテラコッタ
purple_wool,紫色の羊毛
purpur_block,プルプァブロック
purpur_pillar,プルプァの柱
purpur_slab,プルプァのハーフブロック
purpur_stairs,プルプァの階段
quartz_block,クォーツブロック
quartz_bricks,クォーツレンガ
quartz_pillar,クォーツの柱
quartz_slab,クォーツのハーフブロック
quartz_stairs,クォーツの階段
rail,レール
